"","pcc_ids","sak_ids"
"217","PCCGCIGL_00302","SAKL0A04994g"
"218","PCCGCIGL_00304","SAKL0A05016g"
"219","PCCGCIGL_00305","Sklu_YGOB_Anc_6.192"
"220","PCCGCIGL_00307","SAKL0A05038g"
"221","PCCGCIGL_00309","SAKL0A05060g"
"222","PCCGCIGL_00310","Sklu_1.trna2G"
"223","PCCGCIGL_00311","SAKL0A05126g"
"224","PCCGCIGL_00312","SAKL0A05148g"
"225","PCCGCIGL_00313","SAKL0A05170g"
"226","PCCGCIGL_00314","SAKL0A05192g"
"227","PCCGCIGL_00315","SAKL0A05214g"
"228","PCCGCIGL_00320","SAKL0A05236g"
"229","PCCGCIGL_00321","SAKL0A05258g"
"230","PCCGCIGL_00322","SAKL0A05280g"
"231","PCCGCIGL_00323","SAKL0A05302g"
"232","PCCGCIGL_00325","SAKL0A05324g"
"233","PCCGCIGL_00326","SAKL0A05346g"
"234","PCCGCIGL_00327","SAKL0A05368g"
"235","PCCGCIGL_00329","SAKL0A05390g"
"236","PCCGCIGL_00330","SAKL0A05412g"
"237","PCCGCIGL_00331","SAKL0A05434g"
"238","PCCGCIGL_00332","SAKL0A05456g"
"239","PCCGCIGL_00333","SAKL0A05478g"
"240","PCCGCIGL_00334","SAKL0A05500g"
"241","PCCGCIGL_00335","SAKL0A05522g"
"242","PCCGCIGL_00337","Sklu_1.trna3E"
"243","PCCGCIGL_00338","SAKL0A05588g"
"244","PCCGCIGL_00339","SAKL0A05610g"
"245","PCCGCIGL_00341","SAKL0A05632g"
"246","PCCGCIGL_00342","SAKL0A05654g"
"247","PCCGCIGL_00344","SAKL0A05676g"
"248","PCCGCIGL_00347","SAKL0A05698g"
"249","PCCGCIGL_00348","SAKL0A05720g"
"250","PCCGCIGL_00349","SAKL0A05742g"
"251","PCCGCIGL_00350","SAKL0A05764g"
"252","PCCGCIGL_00352","SAKL0A05786g"
"253","PCCGCIGL_00353","SAKL0A05808g"
"254","PCCGCIGL_00354","SAKL0A05830g"
"255","PCCGCIGL_00358","SAKL0A05874g"
"256","PCCGCIGL_00359","SAKL0A05896g"
"257","PCCGCIGL_00361","SAKL0A05918g"
"258","PCCGCIGL_00362","SAKL0A05940g"
