"ID_REF"	"GSM552568"	"GSM552569"	"GSM552570"	"GSM552571"
10109	-0.114143705	-0.847987833	-0.667277677	-0.209273992
10110	-1.933728666	-2.899770665	-2.604872394	-2.284054748
10111	-3.412512199	-4.093567251	-3.812745056	-3.490060436
10112	-3.089821029	-3.856752938	-3.422383157	-2.846993824
10113	-3.287185933	-3.883990162	-3.533802679	-3.271901931
10114	-0.057205283	-0.743291664	-0.513509469	-0.143801273
10115	0.87725632	0.508318263	0.534311864	0.681492608
10116	-2.217855633	-2.843061129	-2.622186077	-2.341994488
10117	-3.193726105	-3.772115173	-3.374821972	-2.841432638
10118	-4.102101623	-4.679545732	-4.3880293	-4.162473962
10119	-2.217672848	-3.063402233	-2.663403459	-2.222457768
10120	-0.895567423	-1.567979729	-1.253362884	-1.046953004
10121	-5.282984126	-5.418821238	-5.475954022	-5.264788805
10122	-0.979246777	-2.004476497	-1.502330583	-1.116019932
10123	-0.841454354	-1.608121878	-1.44486048	-1.039794743
10124	-0.939010462	-1.776346876	-1.444354773	-1.304839903
10125	-6.524955218	-5.741372692	-6.271656396	-6.300516004
10126	-0.991513534	-1.744833498	-1.478887271	-1.162467257
10127	-0.255229177	-3.976911215	-0.64642532	-3.736122425
10128	-0.343417982	-1.16016261	-0.866176602	-0.534615759
10129	-0.591877004	-1.296454034	-0.96255651	-0.47329221
10130	-3.523221426	-4.15950609	-3.988933283	-3.57012635
10131	-2.148699077	-2.733761844	-2.528736449	-2.196613075
10132	-1.134569725	-2.048312575	-1.648879546	-1.367301408
10133	-2.612503891	-3.488452176	-3.206797393	-2.828415812
10134	-0.789448783	-1.475895364	-1.091743482	-0.701054616
10135	-3.693684461	-3.917555826	-3.577045294	-3.37384418
10136	3.146034203	2.048104519	2.036507085	2.524898495
10137	1.158801775	0.148106535	0.839439112	0.978177793
10138	-2.116653822	-2.868409827	-2.495167259	-2.225226538
10139	2.362953311	1.607804536	1.730892499	2.273582952
10140	-0.599983166	-1.187777617	-1.353015773	-0.629855877
10141	-0.350958306	-1.170105645	-0.858669292	-0.428446805
10142	-2.4465473	-3.101883995	-2.937618573	-2.453958563
10143	-2.178123387	-2.988129335	-2.638216595	-2.244650073
10144	-5.363621119	-4.859535607	-5.113270705	-5.658654146
10145	-4.059351826	-4.160733528	-4.207821282	-3.968149334
10146	1.412321006	0.832876795	1.086632643	1.228214203
10147	-0.166274764	-0.788755408	-0.656863886	-0.136628272
10148	-2.748658527	-3.503518776	-3.258759897	-2.824529233
10149	-3.308838802	-3.984468875	-3.774945263	-3.345181625
10150	0.368803239	-0.347307089	-0.119952222	0.316022942
10151	-2.46526368	-3.225623562	-2.836326225	-2.666303463
10152	2.547610555	1.778535827	2.0982845	2.369533048
10153	-2.135428482	-2.550828371	-2.525584544	-2.108707707
10154	-4.460370051	-4.823198909	-4.872986288	-4.50298897
10155	-1.09186991	-1.664558821	-1.515331895	-1.027912583
10156	-6.016888025	-5.941935313	-6.061661348	-5.813309474
10157	0.390672959	-0.493377169	-0.317738591	0.217620142
10158	-2.395710256	-3.303498854	-2.894078955	-2.553675851
10159	-3.034061462	-3.495808575	-3.54296105	-3.282216323
10160	-0.36107148	-1.135159583	-0.884778937	-0.514919146
10161	-1.743332032	-3.051888656	-2.057400341	-1.770072828
10162	-2.93930862	-3.083880976	-3.151430867	-2.791703074
10163	0.50952901	-0.203835083	0.216912892	0.692523546
10164	-2.288902922	-2.991342883	-2.654885019	-2.272676245
10165	-5.411263445	-5.918786338	-5.760057645	-5.389171206
10166	-2.47534205	-3.20988529	-2.842864109	-2.50954584
10167	-2.708684663	-3.171146475	-3.01190965	-2.693573349
10168	-3.175918969	-3.67597708	-3.606557257	-3.096472741
10169	-2.943903166	-3.464148209	-3.183922689	-3.102637539
10170		-1.281548196	-0.945841344	-0.610421625
10171	-2.420778647	-2.991473125	-2.663145611	-2.537281814
10172	-1.860405933	-2.697129299	-2.23705339	-1.915479516
10173	-3.528183968	-3.964791624	-3.718683938	-3.696460097
10174	-1.539159848	-2.438363532	-2.01142365	-1.718192732
10175	-0.852968144	-1.39465147	-1.183808012	-0.717904386
10176	-1.6433094	-2.455406383	-2.09459574	-1.858497361
10177	-2.147662979	-2.84040061	-2.566408931	-2.122622341
10178	-4.629155881	-4.659597446	-4.334050319	-4.046904007
10179	-4.195252447	-4.371552437	-4.556566704	-4.254730823
10180	-1.707495361	-2.536189341	-2.181851408	-1.76641471
10181	1.307089808	0.905258769	1.02179254	1.465405137
10182	-3.656133153	-4.073006743	-3.791828909	-3.608875907
10183	-3.247900621	-3.712457537	-3.651558236	-3.262313788
10184	0.093006207	-0.464798396	-0.239361421	0.078589352
10185	-1.909728366	-2.600516284	-2.402982863	-2.008533284
10186	-2.854136291	-2.71839252	-3.140549784	-2.721373948
10187	-2.591947613	-3.153683513	-2.948706876	-2.598835255
10188	-2.048725506	-2.849357802	-2.505303682	-2.108243046
10189	0.336431977	-0.945129746	-0.250991216	0.25446999
10190	1.826459945	1.052292052	1.367853468	1.559853147
10191	-1.936500428	-3.171389055	-2.485160596	-2.405598937
10192	-1.328147325	-2.14213289	-1.827344534	-1.332900539
10193	-2.071064751	-2.962985274	-2.456590077	-2.147300939
10194	-2.982088758	-3.761875798	-3.387418733	-3.078321492
10195	0.882630441	0.11369336	0.524100816	0.783375742
10196	-0.757151141	-1.439962709	-1.12551236	-0.586147289
10197	-2.862126773	-3.389919453	-3.193710926	-2.912602827
10198	-5.204588234	-5.480851178	-5.540220548	-5.412378254
10199	0.87648491	-0.013199364	0.35554006	0.726101606
10200	-1.128645925	-1.966786844	-1.711361445	-1.186777026
10201	-2.279843269	-2.900574455	-2.705931111	-2.303780873
10202	-2.091021458	-2.641080247	-2.554318131	-2.079126632
10203	-3.528581132	-3.663264086	-3.763111478	-3.563873923
10204	0.538458037	-0.081180438	0.163973994	0.478836379
10205	-2.878453658	-3.647020996	-3.319029652	-3.032375577
10206	-3.409223983	-3.969424041	-3.719766468	-3.481198911
10207	-2.917912734	-3.522638752	-3.389567229	-3.003817017
10208	-1.916743375	-2.898300032	-2.515681279	-2.405005649
10209	-2.693070763	-3.250871095	-3.008717107	-2.73107852
10210	0.238886271	-0.362251738	-0.243373519	0.31434534
10211	-3.350412478	-3.971248336	-3.918507468	-3.440021236
10212	-2.90436052	-3.448210185	-3.195769357	-3.096399464
10213	-0.627686835	-0.957478351	-0.872724438	-0.409440129
10214	2.057572744	1.30615752	1.611080957	1.787552887
10215	-1.568677197	-2.262866452	-2.034338616	-1.581704087
10216	-2.387968596	-3.411111325	-3.033023739	-2.521933455
10217	0.328040523	-0.529993756	-0.189846548	0.173867772
10218	-0.803344648	-2.117603929	-2.005103741	-1.49871291
10219	-4.125673727	-4.77840152	-4.435453898	-4.254644861
10220	-2.098304104	-2.795879483	-2.459297785	-2.094642121
10221	-3.369676966	-3.675968574	-3.234576928	-3.004640815
10222	-3.219463336	-3.923358261	-3.409242633	-3.187962551
10223	-2.458490064	-3.247276455	-2.749885601	-2.563214009
10224	-1.118651053	-1.964723654	-1.620426359	-1.189336358
10225	-2.107519125	-2.98563461	-2.548580563	-2.172789085
10226	-2.376795583	-3.065641723	-2.577405608	-2.22781022
10227	-3.636801432	-4.11886318	-3.922413625	-3.744587456
10228	-2.492702412	-3.213220794	-2.698117882	-2.497659165
10229	-1.719329246	-2.416535149	-2.103026996	-1.85341336
10230	-2.473901153	-3.249947462	-3.054296537	-2.739227146
10231	-1.614151626	-2.329050276	-2.159138057	-2.171515433
10232	-4.179775431	-4.950470693	-4.612289465	-4.233107779
10233	-2.30585564	-3.495284002	-2.800269107	-2.542833309
10234	-4.502215914	-4.727260846	-4.716007858	-4.541351263
10235	-0.12065982	-0.894168784	-0.621445778	-0.180417139
10236	-2.665044589	-3.441402459	-3.121064016	-2.849745017
10237	-1.064126717	-1.722136847	-1.441305111	-1.103945604
10238	-1.31491361	-2.006876229	-1.742351225	-1.466900194
10239	-2.567658597	-3.331687134	-3.118439041	-2.457223091
10240	-3.259941483	-3.771346124	-3.644412671	-3.32761095
