Condition,SAKIDs,IDs,Value,pcc_ids,highlight
YPD,SAKL0A03432g,12816,-0.413711415,PCCGCIGL_00205,FALSE
YPD,SAKL0A03454g,12183,1.272657582,PCCGCIGL_00207,FALSE
YPD,SAKL0A03476g,15074,-4.788739274,PCCGCIGL_00210,FALSE
YPD,SAKL0A03498g,14937,-4.291192403,PCCGCIGL_00211,FALSE
YPD,SAKL0A03520g,10045,-1.501456354,PCCGCIGL_00212,FALSE
YPD,SAKL0A03542g,14645,-1.978634113,PCCGCIGL_00213,FALSE
YPD,SAKL0A03564g,10845,-3.346370742,PCCGCIGL_00214,FALSE
YPD,SAKL0A03586g,12283,0.737877036,PCCGCIGL_00216,FALSE
YPD,SAKL0A03608g,11856,-1.86111497,PCCGCIGL_00217,FALSE
YPD,SAKL0A03630g,12975,0.128759241,PCCGCIGL_00219,FALSE
YPD,SAKL0A03652g,12396,-1.814086244,PCCGCIGL_00220,FALSE
YPD,SAKL0A03674g,14795,-1.624079783,PCCGCIGL_00221,FALSE
YPD,SAKL0A03696g,10395,-5.788820029,PCCGCIGL_00223,FALSE
YPD,SAKL0A03718g,11368,-3.258196036,PCCGCIGL_00225,FALSE
YPD,SAKL0A03740g,12070,-4.49031254,PCCGCIGL_00228,FALSE
YPD,SAKL0A03762g,10636,-3.312091924,PCCGCIGL_00229,FALSE
YPD,SAKL0A03784g,11795,-4.67786331,PCCGCIGL_00230,FALSE
YPD,SAKL0A03806g,13038,-4.055941992,PCCGCIGL_00232,FALSE
YPD,SAKL0A03828g,10140,-0.942658108,PCCGCIGL_00234,FALSE
YPD,SAKL0A03850g,11235,-3.713502793,PCCGCIGL_00236,FALSE
YPD,SAKL0A03872g,11375,-1.179002736,PCCGCIGL_00237,FALSE
YPD,SAKL0A03894g,12740,-1.847940193,PCCGCIGL_00238,FALSE
YPD,SAKL0A03916g,14073,3.678122355,PCCGCIGL_00240,FALSE
YPD,SAKL0A03938g,14879,-3.834827713,PCCGCIGL_00241,FALSE
YPD,SAKL0A03960g,13695,1.299897644,PCCGCIGL_00242,FALSE
YPD,SAKL0A03982g,12682,0.243378045,PCCGCIGL_00243,FALSE
YPD,SAKL0A04004g,15097,-1.876580978,PCCGCIGL_00244,FALSE
YPD,SAKL0A04026g,11764,-1.13315335,PCCGCIGL_00245,FALSE
YPD,SAKL0A04048g,10032,-3.07083074,PCCGCIGL_00246,FALSE
YPD,SAKL0A04070g,15039,-3.671782308,PCCGCIGL_00247,FALSE
YPD,SAKL0A04092g,12863,-3.130947065,PCCGCIGL_00249,FALSE
YPD,SAKL0A04114g,10218,-1.606191307,PCCGCIGL_00250,FALSE
YPD,SAKL0A04136g,12522,-0.634474859,PCCGCIGL_00251,FALSE
YPD,SAKL0A04158g,11814,-0.949517793,PCCGCIGL_00252,FALSE
YPD,SAKL0A04180g,13001,-0.495552669,PCCGCIGL_00254,FALSE
YPD,SAKL0A04202g,13300,-1.237557241,PCCGCIGL_00255,FALSE
YPD,SAKL0A04224g,11385,-1.427439603,PCCGCIGL_00256,FALSE
YPD,SAKL0A04246g,12055,-4.261722488,PCCGCIGL_00257,FALSE
YPD,SAKL0A04268g,11387,-2.455882068,PCCGCIGL_00258,FALSE
YPD,SAKL0A04290g,13679,-1.002277892,PCCGCIGL_00259,FALSE
YPD,SAKL0A04312g,10783,-3.382961604,PCCGCIGL_00260,FALSE
YPD,SAKL0A04334g,11901,-2.859167314,PCCGCIGL_00261,FALSE
YPD,SAKL0A04356g,11990,-3.416135089,PCCGCIGL_00262,FALSE
YPD,SAKL0A04378g,14107,-1.499237642,PCCGCIGL_00263,FALSE
YPD,SAKL0A04400g,12255,-4.156603125,PCCGCIGL_00265,FALSE
YPD,SAKL0A04422g,11903,-2.171918143,PCCGCIGL_00266,FALSE
YPD,SAKL0A04444g,12478,-1.471376575,PCCGCIGL_00268,FALSE
YPD,SAKL0A04466g,12889,-2.195120552,PCCGCIGL_00269,FALSE
YPD,SAKL0A04488g,13249,1.128364764,PCCGCIGL_00271,FALSE
YPD,SAKL0A04510g,11441,-1.133931231,PCCGCIGL_00273,FALSE
YPD,SAKL0A04532g,15086,-3.399994107,PCCGCIGL_00275,FALSE
YPD,SAKL0A04554g,10490,-5.164019966,PCCGCIGL_00277,FALSE
YPD,SAKL0A04576g,15104,-3.021449541,PCCGCIGL_00278,FALSE
YPD,SAKL0A04598g,13200,-3.23984205,PCCGCIGL_00279,FALSE
YPD,SAKL0A04620g,11831,-4.334050987,PCCGCIGL_00281,FALSE
YPD,SAKL0A04642g,14347,-4.074161338,PCCGCIGL_00282,FALSE
YPD,SAKL0A04686g,10055,3.259403905,PCCGCIGL_00283,FALSE
YPD,SAKL0A04730g,12958,-1.391641983,PCCGCIGL_00285,FALSE
YPD,SAKL0A04752g,12646,0.623786184,PCCGCIGL_00287,FALSE
YPD,SAKL0A04774g,10740,-3.881796017,PCCGCIGL_00288,FALSE
YPD,SAKL0A04796g,10615,-4.288793053,PCCGCIGL_00289,FALSE
